Time,X,Y,Yaw,Hitch_Angle
83.08,51.36246816434019,90.52099569076115,-3.028859179405915,3.163043906006112
83.12,51.42208730286942,90.5277453812009,-3.028859179405915,3.162897342239118
83.16,51.48170644139865,90.53449507164065,-3.028859179405915,3.162751779703945
83.2,51.54132557992788,90.5412447620804,-3.028859179405915,3.1626072115638997
83.24,51.60094471845711,90.54799445252014,-3.028859179405915,3.162463631028908
83.28,51.660563856986336,90.55474414295989,-3.028859179405915,3.1623210313552
83.32000000000001,51.720182995515565,90.56149383339964,-3.028859179405915,3.162179405844994
83.36,51.77980213404479,90.56824352383939,-3.028859179405915,3.1620387478461844
83.4,51.83942127257402,90.57499321427913,-3.028859179405915,3.1618990507520324
83.44,51.89904041110325,90.58174290471888,-3.028859179405915,3.161760308000856
83.48,51.95865954963248,90.58849259515863,-3.028859179405915,3.161622513075726
83.52,52.01827868816171,90.59524228559837,-3.028859179405915,3.16148565950416
83.56,52.077897826690936,90.60199197603812,-3.028859179405915,3.161349740857822
83.60000000000001,52.137516965220165,90.60874166647787,-3.028859179405915,3.1612147507522215
83.64,52.19713610374939,90.61549135691762,-3.028859179405915,3.161080682846415
83.68,52.25675524227862,90.62224104735736,-3.028859179405915,3.160947530842711
83.72,52.31637438080785,90.62899073779711,-3.028859179405915,3.1608152884863756
83.76,52.37599351933708,90.63574042823686,-3.028859179405915,3.1606839495653407
83.8,52.43561265786631,90.6424901186766,-3.028859179405915,3.1605535079099134
83.84,52.49523179639554,90.64923980911635,-3.028859179405915,3.1604239573924886
83.88,52.554850934924765,90.6559894995561,-3.028859179405915,3.1602952919272624
83.92,52.614470073453994,90.66273918999585,-3.028859179405915,3.1601675054699476
83.96000000000001,52.67408921198322,90.6694888804356,-3.028859179405915,3.1600405920174923
84.0,52.73370835051245,90.67623857087534,-3.028859179405915,3.1599145456077986
84.04,52.79332748904168,90.68298826131509,-3.028859179405915,3.1597893603194445
84.08,52.85294662757091,90.68973795175484,-3.028859179405915,3.159665030271407
84.12,52.91256576610014,90.69648764219458,-3.028859179405915,3.1595415496227877
84.16,52.972184904629366,90.70323733263433,-3.028859179405915,3.159418912572539
84.2,53.031804043158594,90.70998702307408,-3.028859179405915,3.159297113359194
84.24,53.09142318168782,90.71673671351382,-3.028859179405915,3.1591761462605974
84.28,53.15104232021705,90.72348640395357,-3.028859179405915,3.1590560055936363
84.32000000000001,53.21066145874628,90.73023609439332,-3.028859179405915,3.1589366857139765
84.36,53.27028059727551,90.73698578483307,-3.028859179405915,3.1588181810157976
84.4,53.32989973580474,90.74373547527281,-3.028859179405915,3.1587004859315315
84.44,53.389518874333966,90.75048516571256,-3.028859179405915,3.158583594931601
84.48,53.449138012863195,90.75723485615231,-3.028859179405915,3.158467502524163
84.52,53.50875715139242,90.76398454659206,-3.028859179405915,3.15835220325485
84.56,53.56837628992165,90.7707342370318,-3.028859179405915,3.158237691706516
84.60000000000001,53.62799542845088,90.77748392747155,-3.028859179405915,3.1581239624989825
84.64,53.68761456698011,90.7842336179113,-3.028859179405915,3.158011010288788
84.68,53.74723370550934,90.79098330835104,-3.028859179405915,3.157898829768937
84.72,53.806852844038566,90.79773299879079,-3.028859179405915,3.1577874156686514
84.76,53.866471982567795,90.80448268923054,-3.028859179405915,3.1576767627531255
84.8,53.92609112109702,90.81123237967029,-3.028859179405915,3.1575668658232794
84.84,53.98571025962625,90.81798207011003,-3.028859179405915,3.1574577197155174
84.88,54.04532939815548,90.82473176054978,-3.028859179405915,3.1573493193014843
84.92,54.10494853668471,90.83148145098953,-3.028859179405915,3.157241659487828
84.96000000000001,54.16456767521394,90.83823114142928,-3.028859179405915,3.1571347352159584
85.0,54.22418681374317,90.84498083186902,-3.028859179405915,3.1570285414618136
85.04,54.283805952272395,90.85173052230877,-3.028859179405915,3.156923073235622
85.08,54.343425090801624,90.85848021274852,-3.028859179405915,3.1568183255816704
85.12,54.40304422933085,90.86522990318826,-3.028859179405915,3.156714293578071
85.16,54.46266336786008,90.87197959362801,-3.028859179405915,3.156610972336533
85.2,54.52228250638931,90.87872928406776,-3.028859179405915,3.156508357002131
85.24,54.58190164491854,90.8854789745075,-3.028859179405915,3.1564064427530796
85.28,54.64152078344777,90.89222866494725,-3.028859179405915,3.1563052248005072
85.32000000000001,54.701139921976996,90.898978355387,-3.028859179405915,3.1562046983882315
85.36,54.760759060506224,90.90572804582675,-3.028859179405915,3.156104858792537
85.4,54.82037819903545,90.9124777362665,-3.028859179405915,3.1560057013219542
85.44,54.87999733756468,90.91922742670624,-3.028859179405915,3.155907221317039
85.48,54.93961647609391,90.92597711714599,-3.028859179405915,3.155809414150155
85.52,54.99923561462314,90.93272680758574,-3.028859179405915,3.1557122752252575
85.56,55.05885475315237,90.93947649802548,-3.028859179405915,3.155615799977677
85.60000000000001,55.118473891681596,90.94622618846523,-3.028859179405915,3.1555199838739054
85.64,55.178093030210825,90.95297587890498,-3.028859179405915,3.1554248224113848
85.68,55.23771216874005,90.95972556934473,-3.028859179405915,3.1553303111182958
85.72,55.29733130726928,90.96647525978447,-3.028859179405915,3.1552364455533484
85.76,55.35695044579851,90.97322495022422,-3.028859179405915,3.1551432213055732
85.8,55.41656958432774,90.97997464066397,-3.028859179405915,3.1550506339941156
85.84,55.47618872285697,90.98672433110372,-3.028859179405915,3.15495867926803
85.88,55.535807861386196,90.99347402154346,-3.028859179405915,3.154867352806076
85.92,55.595426999915425,91.00022371198321,-3.028859179405915,3.1547766503165167
85.96000000000001,55.65504613844465,91.00697340242296,-3.028859179405915,3.154686567536916
86.0,55.71466527697388,91.0137230928627,-3.028859179405915,3.1545971002339406
86.04,55.77428441550311,91.02047278330245,-3.028859179405915,3.1545082442031602
86.08,55.83390355403234,91.0272224737422,-3.028859179405915,3.1544199952688516
86.12,55.89352269256157,91.03397216418195,-3.028859179405915,3.154332349283802
86.16,55.9531418310908,91.0407218546217,-3.028859179405915,3.1542453021291155
86.2,56.012760969620025,91.04747154506144,-3.028859179405915,3.1541588497140194
86.24,56.072380108149254,91.05422123550119,-3.028859179405915,3.154072987975673
86.28,56.13199924667848,91.06097092594094,-3.028859179405915,3.1539877128789766
86.32000000000001,56.19161838520771,91.06772061638068,-3.028859179405915,3.1539030204163825
86.36,56.25123752373694,91.07447030682043,-3.028859179405915,3.1538189066077074
86.4,56.31085666226617,91.08121999726018,-3.028859179405915,3.1537353674999458
86.44,56.3704758007954,91.08796968769992,-3.028859179405915,3.1536523991670844
86.48,56.430094939324626,91.09471937813967,-3.028859179405915,3.1535699977099183
86.52,56.489714077853854,91.10146906857942,-3.028859179405915,3.1534881592558675
86.56,56.54933321638308,91.10821875901917,-3.028859179405915,3.1534068799587964
86.60000000000001,56.60895235491231,91.11496844945891,-3.028859179405915,3.1533261559988333
86.64,56.66857149344154,91.12171813989866,-3.028859179405915,3.15324598358219
86.68,56.72819063197077,91.12846783033841,-3.028859179405915,3.1531663589409855
86.72,56.7878097705,91.13521752077816,-3.028859179405915,3.1530872783330683
86.76,56.847428909029226,91.1419672112179,-3.028859179405915,3.1530087380418417
86.8,56.907048047558455,91.14871690165765,-3.028859179405915,3.1529307343760884
86.84,56.96666718608768,91.1554665920974,-3.028859179405915,3.1528532636697983
86.88,57.02628632461691,91.16221628253714,-3.028859179405915,3.152776322281997
86.92,57.08590546314614,91.16896597297689,-3.028859179405915,3.152699906596573
86.96000000000001,57.14552460167537,91.17571566341664,-3.028859179405915,3.152624013022111
87.0,57.2051437402046,91.18246535385639,-3.028859179405915,3.1525486379917202
87.04,57.264762878733826,91.18921504429613,-3.028859179405915,3.15247377796287
87.08,57.324382017263055,91.19596473473588,-3.028859179405915,3.1523994294172226
87.12,57.384001155792284,91.20271442517563,-3.028859179405915,3.1523255888604664
87.16,57.44362029432151,91.20946411561538,-3.028859179405915,3.1522522528221555
87.2,57.50323943285074,91.21621380605512,-3.028859179405915,3.1521794178555433
87.24,57.56285857137997,91.22296349649487,-3.028859179405915,3.1521070805374234
87.28,57.6224777099092,91.22971318693462,-3.028859179405915,3.1520352374679677
87.32000000000001,57.68209684843843,91.23646287737436,-3.028859179405915,3.151963885270568
87.36,57.741715986967655,91.24321256781411,-3.028859179405915,3.1518930205916753
87.4,57.801335125496884,91.24996225825386,-3.028859179405915,3.1518226401006455
87.44,57.86095426402611,91.2567119486936,-3.028859179405915,3.151752740489581
87.48,57.92057340255534,91.26346163913335,-3.028859179405915,3.151683318473176
87.52,57.98019254108457,91.2702113295731,-3.028859179405915,3.151614370788563
87.56,58.0398116796138,91.27696102001285,-3.028859179405915,3.1515458941951584
87.60000000000001,58.09943081814303,91.2837107104526,-3.028859179405915,3.1514778854745122
87.64,58.159049956672256,91.29046040089234,-3.028859179405915,3.151410341430155
87.68,58.218669095201484,91.29721009133209,-3.028859179405915,3.15134325888745
